上海	Shanghai	上海市	CN	31.2222	121.4581
北京	Beijing	北京	CN	39.9075	116.3972
深圳	Shenzhen	广东	CN	22.5455	114.0683
广州市	Guangzhou	广东	CN	23.1167	113.2500
金夏沙	Kinshasa	Kinshasa	CD	-4.3276	15.3136
伊斯坦布尔	Istanbul	伊斯坦布尔	TR	41.0138	28.9497
拉哥斯	Lagos	拉各斯州	NG	6.4541	3.3947
胡志明市	Ho Chi Minh City	Ho Chi Minh City (HCMC)	VN	10.8230	106.6296
成都	Chengdu	四川	CN	30.6667	104.0667
拉合尔	Lahore	旁遮普省	PK	31.5580	74.3507
孟买	Mumbai	马哈拉施特拉邦	IN	19.0728	72.8826
圣保罗	Sao Paulo	圣保罗州	BR	-23.5475	-46.6361
墨西哥城	Mexico City	墨西哥城市	MX	19.4285	-99.1277
卡拉奇	Karachi	信德省	PK	24.8608	67.0104
天津	Tianjin	天津	CN	39.1422	117.1767
德里	Delhi	Delhi	IN	28.6519	77.2315
武汉	Wuhan	湖北	CN	30.5833	114.2667
莫斯科	Moscow	Moscow	RU	55.7520	37.6178
达卡	Dhaka	达卡专区	BD	23.7104	90.4074
首尔特别市	Seoul	首尔特别市	KR	37.5660	126.9784
东京	Tokyo	东京都	JP	35.6895	139.6917
东莞	Dongguan	广东	CN	23.0180	113.7487
开罗	Cairo	开罗省	EG	30.0626	31.2497
西安	Xi'an	陕西	CN	34.2583	108.9286
约翰内斯堡	Johannesburg	豪登省	ZA	-26.2023	28.0436
南京	Nanjing	江苏	CN	32.0617	118.7778
杭州	Hangzhou	浙江	CN	30.2936	120.1614
佛山	Foshan	广东	CN	23.0268	113.1315
伦敦	London	英格兰	GB	51.5085	-0.1257
纽约	New York City	纽约州	US	40.7143	-74.0060
雅加达	Jakarta	Jakarta	ID	-6.2146	106.8451
班加罗尔	Bengaluru	卡纳塔克邦	IN	12.9719	77.5937
河内市	Hanoi	Hanoi	VN	21.0245	105.8412
台北市	Taipei	台湾省 or 台湾省	TW	25.0531	121.5264
利马	Lima	利马省	PE	-12.0432	-77.0282
波哥大	Bogota	Bogota D.C.	CO	4.6097	-74.0817
重庆市	Chongqing	重庆市	CN	29.5603	106.5577
香港	Hong Kong		HK	22.2783	114.1747
巴格达	Baghdad	巴格达省	IQ	33.3406	44.4009
吴忠市	Wuzhong	宁夏	CN	37.9867	106.2010
青岛市	Qingdao	山东	CN	36.0649	120.3804
德黑兰	Tehran	德黑兰省	IR	35.6944	51.4215
沈阳市	Shenyang	辽宁	CN	41.7922	123.4328
海得拉巴	Hyderabad	特伦甘纳邦	IN	17.3840	78.4564
里约热内卢	Rio de Janeiro	里约热内卢州	BR	-22.9064	-43.1822
苏州市	Suzhou	江苏	CN	31.3041	120.5954
浦西	Puxi	上海市	CN	31.2441	121.4659
艾哈迈达巴德	Ahmedabad	古吉拉特邦	IN	23.0258	72.5873
阿比让	Abidjan	Abidjan Autonomous District	CI	5.3544	-4.0017
上海浦东	Pudong	上海市	CN	31.2400	121.5009
悉尼	Sydney	新南威尔士州	AU	-33.8678	151.2073
新加坡	Singapore		SG	1.2897	103.8501
墨尔本	Melbourne	维多利亚州	AU	-37.8140	144.9633
达累斯萨拉姆	Dar es Salaam	达累斯萨拉姆区	TZ	-6.8235	39.2695
圣彼得堡	Saint Petersburg	St.-Petersburg	RU	59.9386	30.3141
亚历山卓	Alexandria	亚历山大省	EG	31.2018	29.9158
哈尔滨市	Harbin	黑龙江	CN	45.7500	126.6500
曼谷	Bangkok	曼谷	TH	13.7540	100.5014
合肥	Hefei	安徽	CN	31.8639	117.2808
大连	Dalian	辽宁	CN	38.9122	121.6022
卡诺	Kano	卡诺州	NG	12.0001	8.5167
圣地亚哥	Santiago	圣地亚哥首都大区	CL	-33.4569	-70.6483
开普敦	Cape Town	西开普省	ZA	-33.9258	18.4232
白沙瓦	Peshawar	开伯尔-普什图省	PK	34.0080	71.5785
长春	Changchun	吉林	CN	43.8800	125.3228
吉达	Jeddah	Mecca Region	SA	21.4901	39.1862
金奈	Chennai	泰米尔纳德邦	IN	13.0878	80.2785
加尔各答	Kolkata	西孟加拉邦	IN	22.5626	88.3630
厦门市	Xiamen	福建省	CN	24.4798	118.0819
苏拉特	Surat	古吉拉特邦	IN	21.1959	72.8302
仰光	Yangon	仰光省	MM	16.8053	96.1561
Bao'an	Bao'an	广东	CN	22.5521	113.8829
喀布尔	Kabul	喀布尔省	AF	34.5281	69.1723
内罗毕	Nairobi	内罗毕郡	KE	-1.2833	36.8167
无锡市	Wuxi	江苏	CN	31.5689	120.2886
Giza	Giza	吉萨省	EG	30.0094	31.2086
济南市	Jinan	山东	CN	36.6683	116.9972
太原	Taiyuan	山西	CN	37.8694	112.5603
郑州市	Zhengzhou	河南	CN	34.7578	113.6486
巴马科	Bamako	巴马科	ML	12.6091	-7.9752
利雅德	Riyadh	利雅得省	SA	24.6877	46.7219
新北	New Taipei City	台北市	TW	25.0620	121.4570
新界	New Territories		HK	22.4244	114.1110
石家庄	Shijiazhuang	河北	CN	38.0414	114.4786
吉大港市	Chattogram	吉大港专区	BD	22.3384	91.8317
阿迪斯阿贝巴	Addis Ababa	Addis Ababa	ET	9.0250	38.7469
昆明	Kunming	云南	CN	25.0389	102.7183
中山	Zhongshan	广东	CN	22.5231	113.3791
南宁市	Nanning	广西	CN	22.8167	108.3167
汕头	Shantou	广东	CN	23.3549	116.6788
洛杉矶	Los Angeles	加州	US	34.0522	-118.2437
Faisalabad	Faisalabad	旁遮普省	PK	31.4155	73.0897
迪拜	Dubai	Dubai	AE	25.0772	55.3093
横滨市	Yokohama	神奈川县	JP	35.4333	139.6500
福州市	Fuzhou	福建省	CN	26.0614	119.3061
宁波市	Ningbo	浙江	CN	29.8782	121.5494
卡萨布兰卡	Casablanca	Casablanca-Settat	MA	33.5883	-7.6114
伊巴丹	Ibadan	奥约州	NG	7.3776	3.9059
浦阳街道	Puyang	浙江	CN	29.4568	119.8887
安卡拉	Ankara	安卡拉次分区	TR	39.9199	32.8543
十堰	Shiyan	湖北	CN	32.6475	110.7781
柏林	Berlin	柏林	DE	52.5244	13.4105
唐山	Tangshan	河北	CN	39.6438	118.1832
拉瓦尔品第	Rawalpindi	旁遮普省	PK	33.5973	73.0479
吕梁市	Lueliang	山西	CN	37.5192	111.1444
德班	Durban	夸祖鲁-纳塔尔省	ZA	-29.8579	31.0292
常州	Changzhou	江苏	CN	31.7736	119.9540
釜山广域市	Busan	釜山广域市	KR	35.1017	129.0300
马德里	Madrid	马德里自治区	ES	40.4165	-3.7026
平壤	Pyongyang	Pyongyang	KP	39.0339	125.7543
淄博	Zibo	山东	CN	36.7906	118.0633
浦那	Pune	马哈拉施特拉邦	IN	18.5196	73.8554
布尔萨	Bursa	布尔萨省	TR	40.1956	29.0601
长沙	Changsha	湖南	CN	28.1987	112.9709
奎松市	Quezon City	National Capital Region	PH	14.6488	121.0509
斋浦尔	Jaipur	拉贾斯坦邦	IN	26.9196	75.7878
贵阳市	Guiyang	贵州	CN	26.5833	106.7167
乌鲁木齐市	UEruemqi	新疆	CN	43.8010	87.6005
泗水	Surabaya	东爪哇省	ID	-7.2492	112.7508
仁川广域市	Incheon	Incheon	KR	37.4565	126.7052
兰州市	Lanzhou	甘肃	CN	36.0570	103.8399
卡拉卡斯	Caracas	首都区	VE	10.4880	-66.8792
基辅	Kyiv	Kyiv City	UA	50.4547	30.5238
伊兹密尔	Izmir	伊兹密尔省	TR	38.4127	27.1384
惠州	Huizhou	广东	CN	23.1115	114.4152
布宜诺斯艾利斯	Buenos Aires	布宜诺斯艾利斯	AR	-34.6131	-58.3772
海口	Haikou	海南	CN	20.0342	110.3465
台中市	Taichung	台湾省 or 台湾省	TW	24.1469	120.6839
Kanpur	Kanpur	北方邦	IN	26.4652	80.3498
多伦多	Toronto	安大略	CA	43.7064	-79.3986
基多	Quito	皮钦查省	EC	-0.2298	-78.5250
布里斯班	Brisbane	Queensland	AU	-27.4679	153.0281
罗安达	Luanda	罗安达省	AO	-8.8368	13.2343
大阪市	Osaka	大阪府	JP	34.6938	135.5011
临沂	Linyi	山东	CN	35.0631	118.3428
保定	Baoding	河北	CN	38.8729	115.4625
高雄市	Kaohsiung	高雄市	TW	22.6163	120.3133
布鲁克林区	Brooklyn	纽约州	US	40.6501	-73.9496
瓜亚基尔	Guayaquil	瓜亚斯省	EC	-2.1962	-79.8862
贝洛奥里藏特	Belo Horizonte	米纳斯吉拉斯州	BR	-19.9208	-43.9378
Minhang	Minhang	上海市	CN	31.1088	121.3747
巴中市	Bazhong	四川	CN	31.8694	106.7443
萨尔瓦多	Salvador	Bahia	BR	-12.9756	-38.4910
阿布贾	Abuja	联邦首都特区	NG	9.0579	7.4951
Gazipur	Gazipur	达卡专区	BD	23.9984	90.4223
芝加哥	Chicago	伊利诺伊州	US	41.8500	-87.6500
温州市	Wenzhou	浙江	CN	27.9994	120.6668
勿加泗	Bekasi	西爪哇省	ID	-6.2349	106.9896
达喀尔	Dakar	达喀尔区	SN	14.6937	-17.4441
海防市	Haiphong	Hai Phong	VN	20.8648	106.6834
云浮	Yunfu	广东	CN	22.9279	112.0381
新孟买	Navi Mumbai	马哈拉施特拉邦	IN	19.0368	73.0158
摩加迪休	Mogadishu	Banaadir	SO	2.0371	45.3438
库马西	Kumasi	Ashanti	GH	6.6885	-1.6244
万隆	Bandung	西爪哇省	ID	-6.9222	107.6069
古杰兰瓦拉	Gujranwala	旁遮普省	PK	32.1557	74.1870
淮安	Huai'an	江苏	CN	33.5886	119.0192
棉兰	Medan	北苏门答腊省	ID	3.5833	98.6667
勒克瑙	Lucknow	北方邦	IN	26.8393	80.9231
瓦加杜古	Ouagadougou	中央大区	BF	12.3657	-1.5339
那格浦尔	Nagpur	马哈拉施特拉邦	IN	21.1463	79.0849
福塔雷萨	Fortaleza	Ceará	BR	-3.7172	-38.5431
卡利	Cali	考卡山谷省	CO	3.4305	-76.5199
珀斯	Perth	西澳大利亚州	AU	-31.9522	115.8614
大邱广域市	Daegu	Daegu	KR	35.8703	128.5911
阿尔及尔	Algiers	阿尔及尔省	DZ	36.7323	3.0875
南昌	Nanchang	江西	CN	28.6840	115.8531
巴库	Baku	Baki	AZ	40.3777	49.8920
呼和浩特	Hohhot	内蒙古	CN	40.8106	111.6522
名古屋市	Nagoya	爱知县	JP	35.1815	136.9064
罗马市	Rome	拉齐奥	IT	41.8919	12.5113
Queens	Queens	纽约州	US	40.6815	-73.8365
休斯敦	Houston	得克萨斯州	US	29.7633	-95.3633
马什哈德	Mashhad	礼萨呼罗珊省	IR	36.2981	59.6057
绍兴	Shaoxing	浙江	CN	30.0024	120.5786
